S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
4,6,5,4,,,,,1,2,3,0,oep739p,1,446.69999999925494,5,0.5,,0,NA,1.5,1,0,SC,16,W,NA
4,6,5,4,,,,,1,2,3,0,oep739p,1,252.5,2,0.5,,0,2,0.5,2,0,SC,16,W,NA
2,4,4,5,,,,,0,3,1,2,oep739p,2,391,1,0.5,,0,1,-1.5,1,1,SC,16,W,NA
2,4,4,5,,,,,0,3,1,2,oep739p,2,313.6000000014901,5,-0.5,,1,NA,-3.5,2,0,SC,16,W,NA
1,5,3,2,,,,,3,0,2,1,oep739p,3,495.80000000074506,5,-0.5,,0,NA,0.5,1,0,SC,16,W,NA
1,5,3,2,,,,,3,0,2,1,oep739p,3,459.30000000074506,4,0.5,,1,2,3.5,2,1,SC,16,W,NA
5,2,5,3,,,,,1,0,2,3,oep739p,4,492.8999999985099,5,-0.5,,0,NA,-1.5,1,1,SC,16,W,NA
5,2,5,3,,,,,1,0,2,3,oep739p,4,797,1,0.5,,1,1,0.5,2,1,SC,16,W,NA
3,4,4,3,,,,,2,0,3,1,oep739p,5,490,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
3,4,4,3,,,,,2,0,3,1,oep739p,5,364.9000000022352,5,0.5,,1,NA,0.5,2,1,SC,16,W,NA
4,5,4,5,,,,,0,1,3,2,oep739p,6,588.4000000022352,4,-0.5,,0,2,-0.5,1,1,SC,16,W,NA
4,5,4,5,,,,,0,1,3,2,oep739p,6,314,2,-0.5,,1,2,-1.5,2,0,SC,16,W,NA
5,4,3,3,,,,,0,1,2,3,oep739p,7,653,5,-0.5,,0,NA,2.5,1,0,SC,16,W,NA
5,4,3,3,,,,,0,1,2,3,oep739p,7,251.39999999850988,4,-0.5,,1,2,0.5,2,1,SC,16,W,NA
5,4,3,5,,,,,1,3,2,0,oep739p,8,3322.89999999851,1,-0.5,,0,1,1.5,1,0,SC,16,W,NA
5,4,3,5,,,,,1,3,2,0,oep739p,8,1792.9000000022352,2,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
4,4,4,4,,,,,2,1,0,3,oep739p,9,496.69999999925494,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
4,4,4,4,,,,,2,1,0,3,oep739p,9,942.6999999992549,1,-0.5,,1,1,-0.5,2,0,SC,16,W,NA
4,5,2,4,,,,,0,2,1,3,oep739p,10,89.5,3,0.5,,0,1,3.5,1,0,SC,16,W,NA
4,5,2,4,,,,,0,2,1,3,oep739p,10,429.6000000014901,5,-0.5,,1,NA,2.5,2,1,SC,16,W,NA
3,4,5,2,,,,,3,1,0,2,oep739p,11,839.1000000014901,1,0.5,,1,1,-1.5,1,0,SC,16,W,NA
3,4,5,2,,,,,3,1,0,2,oep739p,11,380.69999999925494,3,0.5,,0,1,-0.5,2,1,SC,16,W,NA
3,2,5,6,,,,,3,1,2,0,oep739p,12,3784.900000002235,2,0.5,,0,2,-2.5,1,1,SC,16,W,NA
3,2,5,6,,,,,3,1,2,0,oep739p,12,254.40000000223517,4,-0.5,,1,2,-4.5,2,0,SC,16,W,NA
3,6,3,4,,,,,2,1,3,0,oep739p,13,375.5,4,-0.5,,0,2,1.5,1,0,SC,16,W,NA
3,6,3,4,,,,,2,1,3,0,oep739p,13,301,5,-0.5,,1,NA,1.5,2,1,SC,16,W,NA
3,4,1,2,,,,,0,2,3,1,oep739p,14,383,5,0.5,,0,NA,4.5,1,0,SC,16,W,NA
3,4,1,2,,,,,0,2,3,1,oep739p,14,303.80000000074506,1,0.5,,1,1,2.5,2,1,SC,16,W,NA
4,4,2,5,,,,,3,0,1,2,oep739p,15,631.5,5,-0.5,,1,NA,0.5,1,1,SC,16,W,NA
4,4,2,5,,,,,3,0,1,2,oep739p,15,608.5999999977648,3,-0.5,,1,1,1.5,2,1,SC,16,W,NA
4,4,1,4,,,,,1,2,0,3,oep739p,16,425,3,0.5,,0,1,3.5,1,0,SC,16,W,NA
4,4,1,4,,,,,1,2,0,3,oep739p,16,366.29999999701977,4,0.5,,1,2,0.5,2,1,SC,16,W,NA
2,6,5,2,,,,,1,0,3,2,oep739p,17,378.3999999985099,1,-0.5,,1,1,-3.5,1,0,SC,16,W,NA
2,6,5,2,,,,,1,0,3,2,oep739p,17,153.19999999925494,5,0.5,,0,NA,1.5,2,0,SC,16,W,NA
4,5,3,4,,,,,1,3,0,2,oep739p,18,362,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
4,5,3,4,,,,,1,3,0,2,oep739p,18,218.19999999925494,3,-0.5,,1,1,1.5,2,1,SC,16,W,NA
